dataset_scope,group,alpha,n,median_normalized_mountain_objective,q1_normalized_mountain_objective,q3_normalized_mountain_objective,median_normalized_centroid_gain,q1_normalized_centroid_gain,q3_normalized_centroid_gain,median_base_pair_f1,q1_base_pair_f1,q3_base_pair_f1,median_normalized_squared_mountain_distance,q1_normalized_squared_mountain_distance,q3_normalized_squared_mountain_distance,median_predicted_pair_count,q1_predicted_pair_count,q3_predicted_pair_count,median_median_selected_pair_bpp,q1_median_selected_pair_bpp,q3_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,q1_fraction_selected_pair_bpp_below_0.01,q3_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,q1_hybrid_seconds,q3_hybrid_seconds,fraction_records_with_any_selected_pair_bpp_below_0.01
all,16S_rRNA,0.0009990009990009992,182,5.467751585166616e-05,3.2851834881814305e-05,6.113639006835998e-05,0.31258986089258844,0.2707553552179257,0.3864477281942038,0.6164383561643836,0.5110964227056043,0.7088206627680311,0.002492571848937885,0.001752565354233944,0.013303553945338798,69.0,65.0,77.0,0.8574194555447658,0.8356620077908914,0.925288427547173,0.014492753623188406,0.0,0.03825692379909247,0.5816564205,0.46729921,0.659607381,0.6813186813186813
all,16S_rRNA,0.0029910269192422734,182,7.31859271041906e-05,5.3536670214300105e-05,9.209003283124913e-05,0.32203531854951445,0.2845197822584415,0.39916049129870906,0.6486486486486487,0.5550904977375566,0.7272727272727273,0.0025845270113398324,0.0016889632971282364,0.01339370799519448,71.0,66.0,77.75,0.856124908548483,0.8304801712337152,0.9245462808257224,0.0,0.0,0.014084507042253521,0.5745016304999999,0.45426533375,0.65504534075,0.46153846153846156
all,16S_rRNA,0.009900990099009901,182,0.00012825758748764125,8.050998996398893e-05,0.00017172099092869645,0.3337962063138358,0.2938238416507568,0.40179520778020983,0.6621621621621622,0.5677244582043344,0.7345118649466476,0.0025404350023392713,0.0015908711105399004,0.013155984842903038,71.0,66.0,79.0,0.8515725910212448,0.826488788654463,0.9246748412645871,0.0,0.0,0.0,0.5730786354999999,0.468794912,0.6408008755,0.15934065934065933
all,16S_rRNA,0.029126213592233007,182,0.0002613940350498751,0.00012427590174258427,0.0003062915340022789,0.34153857372942753,0.2991700159238528,0.40669054351745143,0.6754966887417219,0.5834275561298659,0.736,0.0024214247972142375,0.0016089939110363986,0.01250656220362671,74.0,66.0,78.0,0.8515725910212448,0.815609259043873,0.925176723955837,0.0,0.0,0.0,0.572762813,0.471480623,0.645948491,0.04945054945054945
all,16S_rRNA,0.09090909090909091,182,0.0006686264594290693,0.00023567792499401444,0.0010709621736061158,0.35023627831259285,0.3096130433069026,0.41268472526243194,0.7178104575163399,0.5872602739726027,0.735453237410072,0.0019922032347700225,0.0014582393129840688,0.012267951401913588,76.0,64.0,78.0,0.8608125266004334,0.7987459256905611,0.92535151413449,0.0,0.0,0.0,0.5722428575,0.47404435375,0.64584090125,0.016483516483516484
all,16S_rRNA,0.23076923076923075,182,0.0010582948024099798,0.0003228794036722035,0.0022622064904254027,0.3585719290574261,0.3115010568467351,0.41268472526243194,0.7278338945005611,0.58960690887433,0.7432268988872762,0.00200383053209067,0.0014204137851875232,0.012287298239340353,74.0,64.0,76.0,0.8610779960026682,0.8064219268823667,0.927406986996411,0.0,0.0,0.0,0.571545474,0.4773152265,0.6419256575,0.0
all,16S_rRNA,0.5,182,0.0014065622926548076,0.0004229868930912821,0.0023301839331180203,0.3586241783413576,0.3133516172958725,0.4127105031063598,0.728435941460224,0.5834275561298659,0.7449549162730786,0.002385829670377106,0.0014301962492728369,0.012212497173643004,74.0,63.0,76.0,0.8583446260757537,0.7987459256905611,0.927417163827651,0.0,0.0,0.0,0.5635391665,0.46864573975,0.64389727425,0.0
all,16S_rRNA,0.75,182,0.0015682333929106615,0.0004924752190919772,0.0023301839331180203,0.3586241783413576,0.3143597906625037,0.41278105586852115,0.728435941460224,0.5839114895406285,0.7506033182503771,0.002289688333619682,0.0014301962492728369,0.012287298239340353,74.0,62.0,76.0,0.8610779960026682,0.7987459256905611,0.9288398823564257,0.0,0.0,0.0,0.5629182685,0.46563717875,0.6429647175000001,0.0
all,16S_rRNA,0.9090909090909091,182,0.001708095047329031,0.0004924752190919772,0.002454065149731224,0.3586749464963638,0.3144988842100576,0.41290806060142077,0.7272727272727273,0.5770679132580184,0.7507149110008754,0.002289688333619682,0.0012865583539343754,0.012295140359086264,74.0,62.0,77.0,0.8610779960026682,0.7975377252125075,0.9325735307496592,0.0,0.0,0.0,0.571485168,0.45975302075,0.647750133,0.0
all,16S_rRNA,1.0,182,0.0017608854010971195,0.0004924752190919772,0.0024878700434373536,0.3586749464963638,0.3144988842100576,0.41290806060142077,0.7272727272727273,0.582059000602047,0.7526253454401894,0.002289688333619682,0.0012258248094131133,0.012295140359086264,74.0,61.25,77.0,0.8624631109994689,0.7886535235426485,0.9345690089237922,0.0,0.0,0.0,0.56712184,0.45306640525,0.64205569425,0.0
all,5S_rRNA,0.0,11302,8.954172804461319e-05,6.701935389872761e-05,0.00011591171019788235,0.22089382398102325,-0.01087573442490397,0.417014343098298,0.5245901639344263,0.2898550724637681,0.75,0.004526675712070258,0.0016320759080487113,0.015122373846025168,33.0,30.0,36.0,0.8887743230403796,0.5927869479713204,0.9635138413293801,0.14285714285714285,0.027777777777777776,0.3474080267558528,0.017464088500000002,0.0154068265,0.01941610525,0.7930454786763405
all,5S_rRNA,9.999000099990002e-05,11302,9.082991986970681e-05,6.81276948481038e-05,0.00011808228906700534,0.2736216000916204,0.03162682455731594,0.4522364593832297,0.5573770491803278,0.3,0.7631578947368421,0.0045126920255136385,0.0016320759080487113,0.015102935707140813,33.0,30.0,36.0,0.8990837757657664,0.6817464962885796,0.9644585927888158,0.1,0.0,0.30303030303030304,0.016653123,0.01462888625,0.01856700025,0.6955406122810122
all,5S_rRNA,0.0002999100269919024,11302,9.75482100281186e-05,7.105681417760239e-05,0.00012701803497431848,0.31618850465131454,0.07748336344985034,0.45488049147942583,0.5862068965517241,0.3157894736842105,0.7741935483870968,0.00451078241843876,0.0016320759080487113,0.01518799682972043,33.0,30.0,36.0,0.9012046576809811,0.7335141975576998,0.9649381763818987,0.05714285714285714,0.0,0.2413793103448276,0.0166120155,0.01459005175,0.018524035,0.6098035745885684
all,5S_rRNA,0.0009990009990009992,11302,0.00011361697027492028,7.944698133847633e-05,0.00015681576889327366,0.35608397797267544,0.15376227103079046,0.4686800755259347,0.625,0.34375,0.7887323943661971,0.004530998507529544,0.0016320759080487113,0.015341988765806693,34.0,30.0,37.0,0.9022841815878659,0.7584017137408159,0.9646152589382367,0.0,0.0,0.13793103448275862,0.0166304935,0.014594218749999999,0.01851169375,0.48548929393027784
