alpha,endpoint_alpha,n,median_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd
0.0,0.0,21254,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,21254,-0.04953125143855297,0.1826479721464195,0.09043003669897431,-0.0005697194131890049,0.6262821116025219,0.03787522348734356
9.999000099990002e-05,0.0,21254,0.0,0.32262162416486306,0.6404441516890939,0.0,0.2561400207019855,0.45186788369248143
9.999000099990002e-05,1.0,21254,-0.03472892147404971,0.204055707161005,0.10421567704902607,-0.0005557495959333557,0.6228004140397102,0.04399171920579656
0.0002999100269919024,0.0,21254,0.0,0.4716288698597911,0.4743577679495624,0.0,0.34388820927825353,0.2565164204385057
0.0002999100269919024,1.0,21254,-0.02619047619047621,0.22682789122047614,0.11682506822245224,-0.0005233429650298577,0.6169191681565823,0.0520372635739155
0.0009990009990009992,0.0,21254,0.024358974358974383,0.6039804272137009,0.31641102851228003,0.0,0.38778582854992,0.12915215959348827
0.0009990009990009992,1.0,21254,-0.015549796371714275,0.2657852639503152,0.1363037545873718,-0.00046741633924942544,0.589771337160064,0.07231579937894043
0.0029910269192422734,0.0,21254,0.032567783094098884,0.6618989366707443,0.22979203914557259,2.2478982151688358e-05,0.3973369718641197,0.0828549920015056
0.0029910269192422734,1.0,21254,-0.008651838935560041,0.2951914933659546,0.16580408393714124,-0.00040108601752437316,0.5717982497412252,0.0989931307048085
0.009900990099009901,0.0,21254,0.04255319148936171,0.6795426743201279,0.17455537781123553,7.686749581072147e-05,0.38261033217276746,0.05547191116966218
0.009900990099009901,1.0,21254,0.0,0.30417803707537405,0.2302154888491578,-0.00018726591760299602,0.5312411781311753,0.17384962830526018
0.029126213592233007,0.0,21254,0.0448227566888825,0.685659170038581,0.14867789592547284,0.00015858227446627154,0.3659546438317493,0.046438317493177755
0.029126213592233007,1.0,21254,0.0,0.3015902888867978,0.29363884445280886,0.0,0.47948621435964994,0.2557165709984003
0.09090909090909091,0.0,21254,0.045454545454545414,0.6953044132869107,0.12727016091088736,0.00021305136905231596,0.36524889432577395,0.042580220193845865
0.09090909090909091,1.0,21254,0.0,0.26926696151312696,0.39460807377434837,0.0,0.4091935635645055,0.3700009409993413
0.23076923076923075,0.0,21254,0.04647427478629529,0.7077726545591418,0.11169662181236473,0.0002774021253862649,0.36214359649948247,0.03994542203820457
0.23076923076923075,1.0,21254,0.0,0.2161475486967159,0.5150559894608073,0.0,0.33316081678742826,0.498023901383269
0.5,0.0,21254,0.04761904761904767,0.7197703961607227,0.09988708007904394,0.00039712868467982473,0.3484520560835607,0.039333772466359274
0.5,1.0,21254,0.0,0.13865625294062295,0.687823468523572,0.0,0.22066434553495812,0.6770019760986167
0.75,0.0,21254,0.04813510693792386,0.7257927919450456,0.09457043380069634,0.00048114363810627025,0.3465700574009598,0.03806342335560365
0.75,1.0,21254,0.0,0.07607979674414228,0.8267149712995201,0.0,0.126564411404912,0.822527524230733
0.9090909090909091,0.0,21254,0.04879575078604356,0.7275336407264514,0.09198268561212007,0.0005245033416894783,0.340782911451962,0.038110473322668675
0.9090909090909091,1.0,21254,0.0,0.03542862519996236,0.9215677049026065,0.0,0.059377058436059095,0.9199680060223958
1.0,0.0,21254,0.04953125143855297,0.7269219911546062,0.09043003669897431,0.0005697194131890049,0.33584266491013454,0.03787522348734356
1.0,1.0,21254,0.0,0.0,1.0,0.0,0.0,1.0
