alpha,n,median_fraction_selected_pair_bpp_below_0.01,fraction_records_with_any_selected_pair_bpp_below_0.01,fraction_f1_at_least_and_nmsmd_at_most_gamma2,fraction_hybrid_pareto_dominates_gamma2,fraction_gamma2_pareto_dominates_hybrid,fraction_equal_to_gamma2,fraction_mixed_vs_gamma2,median_delta_base_pair_f1_vs_gamma2,median_delta_nmsmd_vs_gamma2
0.0,21254,0.13636363636363635,0.7920861955396631,0.32690317116778017,0.29250964524324835,0.2511527241930931,0.034393525924531855,0.42194410463912674,-0.040906021433708084,-0.001428789434460103
9.999000099990002e-05,21254,0.1,0.7089489037357674,0.3663780935353345,0.3275618707066905,0.24809447633386655,0.03881622282864402,0.38552743013079893,-0.021739130434782594,-0.0014206328754270158
0.0002999100269919024,21254,0.05714285714285714,0.6348922555754211,0.399971770019761,0.35555660111037923,0.2434365295944293,0.04441516890938176,0.35659170038580973,-0.014272300469483579,-0.001400810091118732
0.0009990009990009992,21254,0.02702702702702703,0.5110096922932154,0.4681001223299144,0.4079232144537499,0.23092123835513315,0.06017690787616449,0.3009786393149525,-0.0006779680493192997,-0.0013655715318499479
0.0029910269192422734,21254,0.0,0.3620965465324174,0.5321351275054107,0.45135033405476616,0.21680624823562625,0.08078479345064458,0.251058624258963,0.0,-0.0012696575244725019
0.009900990099009901,21254,0.0,0.18791756845770208,0.5889714877199586,0.4715818198927261,0.19177566575703398,0.11738966782723252,0.21925284652300744,0.0,-0.0010921019378290755
0.029126213592233007,21254,0.0,0.07283334901665568,0.6403971017220288,0.46922932153947494,0.15841723910793262,0.17116778018255388,0.20118565917003858,0.0,-0.0008047286711294686
0.09090909090909091,21254,0.0,0.013456290580596594,0.6828832219817446,0.46010162792886045,0.1228474640067752,0.22278159405288417,0.1942693140114802,0.0018401434867491885,-0.0005552571942456148
0.23076923076923075,21254,0.0,9.409993413004611e-05,0.6862708196104262,0.43215394749223673,0.11042627270160911,0.2541168721181895,0.2033029076879646,0.001852191316633809,-0.00036628737945579727
0.5,21254,0.0,0.0,0.6690034816975629,0.40575891596875885,0.12312976380916534,0.263244565728804,0.20786675449327185,0.0009057971014492239,-7.268354246370778e-05
0.75,21254,0.0,0.0,0.6515008939493743,0.3861390797026442,0.13376305636586056,0.26536181424673005,0.21473604968476523,0.0,0.0
0.9090909090909091,21254,0.0,0.0,0.6434082996141902,0.37757598569681,0.14237320033875978,0.26583231391738027,0.21421850004704995,0.0,0.0
1.0,21254,0.0,0.0,0.6382328032370377,0.37343558859508796,0.14844264609014773,0.2647972146419498,0.21332455067281453,0.0,0.0
