scope,family,alpha,n,median_normalized_mountain_objective,median_normalized_centroid_gain,median_base_pair_f1,median_normalized_squared_mountain_distance,median_predicted_pair_count,median_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,fraction_identical_to_alpha_0,fraction_identical_to_alpha_1
family,tRNA,0.029126213592233007,9234,0.0004552481338889446,0.41517919563637556,0.6842105263157895,0.007568576618749915,22.0,0.9182009517225622,0.0,0.002799692,0.0863114576564869,0.3309508338748105
family,tmRNA,0.029126213592233007,10,0.00020517429626890115,0.3311139586958716,0.4291497975708502,0.016602046567605895,66.0,0.8824194495093969,0.0,0.62337832,0.1,0.1
all,all_families,0.09090909090909091,21254,0.0005422914621753335,0.4067361467360079,0.7076923076923077,0.005939988433080254,28.0,0.9116098041090208,0.0,0.013300371,0.0399924720052696,0.3692481415263009
family,16S_rRNA,0.09090909090909091,182,0.0006686264594290693,0.35023627831259285,0.7178104575163399,0.0019922032347700225,76.0,0.8608125266004334,0.0,0.5722428575,0.0,0.18681318681318682
family,5S_rRNA,0.09090909090909091,11302,0.00043903244935682747,0.392979188802435,0.7142857142857143,0.004517968067657519,34.0,0.901069705462084,0.0,0.016613258,0.0069014333746239605,0.30817554415147763
family,RNaseP,0.09090909090909091,36,0.00047860749486542954,0.4081989714962263,0.5827814569536424,0.006582070600931237,74.5,0.9444109909369447,0.0,0.6285574705,0.0,0.2222222222222222
family,SRP,0.09090909090909091,407,0.00027738575984672184,0.45517911275666373,0.6408839779005525,0.006889716192041774,76.0,0.941754616023942,0.0,0.703686899,0.04668304668304668,0.2972972972972973
family,group_I_intron,0.09090909090909091,83,0.0003840558957614601,0.38189893635511585,0.6442953020134228,0.004332467154704729,73.0,0.9190686431745049,0.0,0.60383537,0.0,0.3253012048192771
family,tRNA,0.09090909090909091,9234,0.0007088162062648984,0.42104381792404744,0.7,0.00781039745802908,22.0,0.9206182858245011,0.0,0.0027989514999999998,0.08143816330950834,0.4518085336798787
family,tmRNA,0.09090909090909091,10,0.00048651388611270713,0.33539330754098684,0.442401533635413,0.01777747078969276,64.5,0.9043694405696712,0.0,0.6253701955000001,0.1,0.3
all,all_families,0.23076923076923075,21254,0.0007654998931608741,0.40912104914296377,0.7142857142857143,0.00609771256681744,28.0,0.9138874244746885,0.0,0.0132804315,0.038298673190928764,0.4975534017126188
family,16S_rRNA,0.23076923076923075,182,0.0010582948024099798,0.3585719290574261,0.7278338945005611,0.00200383053209067,74.0,0.8610779960026682,0.0,0.571545474,0.0,0.33516483516483514
family,5S_rRNA,0.23076923076923075,11302,0.000605075764408373,0.39442114496339375,0.7169811320754716,0.004933727189668169,34.0,0.9041803285821066,0.0,0.0165850895,0.006193594054149708,0.4324013448947089
family,RNaseP,0.23076923076923075,36,0.0007489205117361128,0.41083401608293857,0.5827814569536424,0.007216537164493749,72.0,0.94604297589647,0.0,0.6613863870000001,0.0,0.3055555555555556
