dataset_scope,group,alpha,endpoint_alpha,n,median_delta_base_pair_f1,q1_delta_base_pair_f1,q3_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,q1_delta_nmsmd,q3_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd,median_delta_normalized_mountain_objective,q1_delta_normalized_mountain_objective,q3_delta_normalized_mountain_objective,median_delta_normalized_centroid_gain,q1_delta_normalized_centroid_gain,q3_delta_normalized_centroid_gain,median_delta_fraction_selected_pair_bpp_below_0.01,q1_delta_fraction_selected_pair_bpp_below_0.01,q3_delta_fraction_selected_pair_bpp_below_0.01,fraction_identical_to_endpoint
all,all_families,0.009900990099009901,0.0,21254,0.04261223835845321,0.0,0.13385518590998036,0.679589724287193,0.17455537781123553,7.686749581072147e-05,-0.0002510886012382633,0.0007995189671007857,0.38261033217276746,0.05547191116966218,0.00011807844740028447,4.1064916079332006e-05,0.0002861165031516606,0.12726499021333437,0.05761561182097513,0.21286749809590552,-0.13043478260869565,-0.27586206896551724,-0.029411764705882353,0.05039051472663969
all,all_families,0.009900990099009901,1.0,21254,0.0,-0.02857142857142858,0.009045680687471802,0.30422508704243906,0.2302154888491578,-0.00018726591760299602,-0.003658892800590342,0.0003005957260753129,0.5312411781311753,0.17384962830526018,-0.0009032048035562523,-0.004941909378669574,-0.0001358195688569195,-0.011627603153077926,-0.03726423545098852,-0.00184731530836664,0.0,0.0,0.0,0.17126188011668392
all,all_families,0.029126213592233007,0.0,21254,0.044992302216210256,0.0,0.14426877945995253,0.685659170038581,0.14867789592547284,0.00015858227446627154,-0.00031688731814694213,0.0011988005264202933,0.3659546438317493,0.046438317493177755,0.00022182570971905733,6.719224442995532e-05,0.0005709986830833862,0.14080048374256235,0.06223424850120174,0.23260778947230132,-0.13636363636363635,-0.3,-0.029411764705882353,0.04295661993036605
all,all_families,0.029126213592233007,1.0,21254,0.0,-0.01978919151111136,0.008978283621140767,0.30177848875505786,0.29363884445280886,0.0,-0.003095786478796908,0.00013875949015798757,0.47948621435964994,0.2557165709984003,-0.0007830552002103136,-0.004576402949642865,0.0,-0.004923209923230726,-0.0207831094335929,0.0,0.0,0.0,0.0,0.25289357297449894
all,all_families,0.09090909090909091,0.0,21254,0.045454545454545414,0.0,0.15297157622739022,0.6953044132869107,0.12727016091088736,0.00021305136905231596,-0.0004757468233988135,0.00186495367218259,0.36524889432577395,0.042580220193845865,0.00041547437557444696,0.00011204008119223979,0.0011684601750684808,0.15030906457158372,0.06533232475592039,0.2455152428598153,-0.13636363636363635,-0.3076923076923077,-0.029777227722772276,0.0399924720052696
all,all_families,0.09090909090909091,1.0,21254,0.0,-0.012771184753943357,0.004244645957939386,0.269408111414322,0.39460807377434837,0.0,-0.0021502912414180213,0.0,0.4091935635645055,0.3700009409993413,-0.00046487438826568837,-0.0037797370574364163,0.0,-0.001156371075026863,-0.008422409081309853,0.0,0.0,0.0,0.0,0.3692481415263009
all,all_families,0.23076923076923075,0.0,21254,0.046511627906976716,0.0,0.1614920104050539,0.7077726545591418,0.11169662181236473,0.0002774021253862649,-0.000562560026787825,0.0024568101894214267,0.36214359649948247,0.03994542203820457,0.0006276938414426168,0.0001487508710656751,0.0020689030555453495,0.1547227996505003,0.06624947193628783,0.2542871961649222,-0.13636363636363635,-0.3103448275862069,-0.029777227722772276,0.038298673190928764
all,all_families,0.23076923076923075,1.0,21254,0.0,-0.0051282051282051655,0.0,0.216335748564976,0.5149618895266773,0.0,-0.001071898464708211,0.0,0.33316081678742826,0.498023901383269,-3.999303188388165e-05,-0.002554433717911374,0.0,-1.6946450993232665e-05,-0.0027789627876568385,0.0,0.0,0.0,0.0,0.4975534017126188
all,all_families,0.5,0.0,21254,0.04761904761904767,0.0,0.1686638124932136,0.7197703961607227,0.09988708007904394,0.00039712868467982473,-0.000546988565691079,0.0033536316329524393,0.3484520560835607,0.039333772466359274,0.0008983877537092085,0.0001763062075253734,0.003363505229120644,0.1572850966268428,0.06683722602558312,0.26008084125052244,-0.13636363636363635,-0.3103448275862069,-0.029777227722772276,0.03684012421191305
all,all_families,0.5,1.0,21254,0.0,0.0,0.0,0.13884445280888302,0.687823468523572,0.0,0.0,0.0,0.22066434553495812,0.6770019760986167,0.0,-0.0008235694162244873,0.0,0.0,-0.00023747945960585215,0.0,0.0,0.0,0.0,0.6766255763620965
