method,sequence_count,sequences_with_pairs,selected_pair_count,median_bpp,q1_bpp,q3_bpp,median_sequence_median_bpp,fraction_below_0.01,fraction_below_0.05,fraction_below_0.1,median_sequence_fraction_below_0.01,median_sequence_fraction_below_0.05,median_sequence_fraction_below_0.1
reference,21254,21250,618212,0.8333277865258029,0.20268889052243086,0.989980208537178,0.8517413201051844,0.09116775475079746,0.16108875272560222,0.19784960498987403,0.0,0.06451612903225806,0.10940050048960939
vienna_mfe,21254,21254,691129,0.8872720052942288,0.629392663159939,0.9887663330751715,0.8916518592280837,2.8938157710065703e-05,0.0009289148624931091,0.004229311749326102,0.0,0.0,0.0
vienna_centroid,21254,21247,606520,0.9266789660359196,0.7448423806604219,0.9926448409956374,0.9245672050824533,0.0,0.0,0.0,0.0,0.0,0.0
gamma_centroid_2,21254,21254,679150,0.8934852064580916,0.6579089917624317,0.9893555149941625,0.8945993889044862,0.0,0.0,0.0,0.0,0.0,0.0
mountain_centroid_sequence_constrained,21254,21254,618930,0.91421714550907,0.45322062420828024,0.992114025277233,0.9083996163761393,0.17643675375244372,0.19593653563407817,0.20497794580970385,0.13636363636363635,0.15625,0.16666666666666666
